re,AppID,URL,Game Title,Release Date,AI Disclosure Type,Disclosure Clarity,Launch Base Price (USD),First Price Change Date,Price Adjustment Count,Current Base Price (USD),Price Tier,Dev Tier,Macro Genre,Is_Multiplayer,Is_Early_Access,Global Review Count,Global Rating %,Mean_Sentiment_Score,Reviews_Analyzed,Positive_Sentiment_Ratio,Theme_AI_Ratio,Theme_Scam_Ratio,Theme_Tech_Ratio,Is_AI_Cohort,Unnamed: 0
Game 80,3694590,https://store.steampowered.com/app/3694590/Haunted_Room__205/,Haunted Room : 205,2025-08-22 00:00:00,1,1,4.99,2026-01-13 00:00:00,1,5.99,1,1,1,1,0,413,87.39,0.4584292682926829,123,0.7479674796747967,0.0,0.0,0.0,1,
Game 81,1699230,https://store.steampowered.com/app/1699230/Hail_to_the_Rainbow/,Hail to the Rainbow,2025-11-27 00:00:00,1,1,14.99,0,0,14.99,1,1,1,1,0,2651,86.96,0.5513406666666666,300,0.7466666666666667,0.0533333333333333,0.0166666666666666,0.0733333333333333,1,
Game 82,3779340,https://store.steampowered.com/app/3779340/Idle_Reincarnator/,Idle Reincarnator,2025-06-18 00:00:00,3,1,4.99,0,0,4.99,1,1,4,1,0,102,64.01,0.5379964705882353,85,0.8352941176470589,0.0470588235294117,0.0117647058823529,0.0705882352941176,1,
Game 83,1278540,https://store.steampowered.com/app/1278540/Esports_Godfather/,Esports Godfather,2024-05-24 00:00:00,1,1,19.99,0,0,19.99,2,1,3,1,0,4532,87.44,0.5045336666666667,300,0.7766666666666666,0.1833333333333333,0.0066666666666666,0.0566666666666666,1,
Game 84,3098070,https://store.steampowered.com/app/3098070/Cinema_Simulator_2025/,Cinema Simulator 2025,2025-02-17 00:00:00,1,1,11.99,0,0,11.99,1,1,3,1,1,591,73.47,0.5581353191489362,235,0.8297872340425532,0.0595744680851063,0.025531914893617,0.1744680851063829,1,
Game 85,2406370,https://store.steampowered.com/app/2406370/Darkblade_Ascent/,Darkblade Ascent,2025-10-23 00:00:00,1,1,18.99,2025-05-05 00:00:00,1,10.99,2,1,2,1,1,552,76.97,0.4238503333333333,300,0.77,0.0733333333333333,0.01,0.11,1,
Game 86,4134600,https://store.steampowered.com/app/4134600/EverRail/,EverRail,2026-07-20 00:00:00,1,1,14.99,0,0,14.99,1,1,3,1,1,331,66.09,0.4995635359116022,181,0.7679558011049724,0.0497237569060773,0.0,0.2707182320441988,1,
Game 88,4685070,https://store.steampowered.com/app/4685070/Far_Mining/,Far Mining,2026-06-04 00:00:00,2,1,2.99,0,0,2.99,1,1,4,1,0,341,87.49,0.6283054054054055,222,0.90990990990991,0.009009009009009,0.0,0.009009009009009,1,
Game 89,4249770,https://store.steampowered.com/app/4249770/Captain_Whiskers_Incremental_Seas/,Captain Whiskers: Incremental Seas,2026-02-11 00:00:00,3,1,5.99,0,0,5.99,1,1,4,1,0,909,81.4,0.4602651741293532,201,0.7761194029850746,0.1741293532338308,0.0,0.0049751243781094,1,
Game 90,3300800,https://store.steampowered.com/app/3300800/HER_TREES__PUZZLE_DREAM/,HER TREES : PUZZLE DREAM,2026-02-10 00:00:00,3,1,3.99,0,0,3.99,1,1,4,1,0,1867,92.76,0.614564,300,0.8733333333333333,0.0,0.0,0.0,1,
Game 91,3400650,https://store.steampowered.com/app/3400650/Creepy_Shift_House_For_Sale/,Creepy Shift: House For Sale,2025-04-14 00:00:00,1,1,6.99,0,0,6.99,1,1,4,1,0,369,85.94,0.6129171052631579,152,0.8618421052631579,0.1381578947368421,0.006578947368421,0.0526315789473684,1,
Game 92,2998750,https://store.steampowered.com/app/2998750/Vending_Machine_Business_Simulator/,Vending Machine Business Simulator,2025-07-23 00:00:00,1,1,8.99,0,0,8.99,1,1,3,1,1,200,69.14,0.4353862068965518,116,0.7413793103448276,0.0172413793103448,0.0086206896551724,0.1637931034482758,1,
Game 93,1771980,https://store.steampowered.com/app/1771980/The_Operator/,The Operator,2024-07-22 00:00:00,1,1,13.99,0,0,13.99,1,1,4,1,0,8788,88.91,0.5955343333333334,300,0.83,0.0033333333333333,0.0,0.0066666666666666,1,
Game 94,3626090,https://store.steampowered.com/app/3626090/Blitzkrieg_Express/,Blitzkrieg Express,2025-06-17 00:00:00,1,1,4.99,0,0,4.99,1,1,1,1,0,126,68.27,0.4942950819672131,61,0.7868852459016393,0.0163934426229508,0.0,0.0327868852459016,1,
Game 95,983870,https://store.steampowered.com/app/983870/FOUNDRY/,FOUNDRY,2024-05-02 00:00:00,1,1,34.99,2024-05-16 00:00:00,1,29.99,3,2,3,2,0,3913,78.37,0.6065820000000001,300,0.84,0.0333333333333333,0.0033333333333333,0.0566666666666666,1,
Game 96,3632890,https://store.steampowered.com/app/3632890/Content_King/,Content King,2026-03-19 00:00:00,3,1,11.99,0,0,11.99,1,1,3,1,0,303,87.53,0.4468715302491103,281,0.6797153024911032,0.0035587188612099,0.0,0.0,1,
Game 97,2772750,https://store.steampowered.com/app/2772750/Age_of_History_3/,Age of History 3,2024-10-23 00:00:00,1,1,9.99,0,0,9.99,1,1,3,1,0,18513,83.19,0.3078673333333333,300,0.6166666666666667,0.1333333333333333,0.0033333333333333,0.04,1,
